Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
6,167,COL,,Jack Wynkoop,SP,21,/,"CO
                    
                    
                    South Carolina","$298,800","$298,900",-$100
6,168,TEX,,Tyler Ferguson,RP,21,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$296,000","$200,000","$96,000"
6,169,HOU,,Nestor Muriel,OF,17,/,"HS
                    
                    
                    Carlos Beltran Baseball Academy (PR...","$293,100","$250,000","$43,100"
6,170,MIN,,Chris Paul,3B,22,/,"CO
                    
                    
                    California-Berkeley","$290,300","$50,000","$240,300"
6,171,BOS,,Travis Lakins,RP,21,R / R,"CO
                    
                    
                    Ohio State","$287,500","$320,000","-$32,500"
6,172,CHW,,Corey Zangari,1B,18,/,"HS
                    
                    
                    Carl Albert HS (OK)","$284,700","$510,000","-$225,300"
6,173,CHC,,David Berg,RP,22,/,"CO
                    
                    
                    California-Los Angeles","$282,000","$50,000","$232,000"
6,174,PHI,,Tyler Gilbert,SP,21,L / L,"CO
                    
                    
                    Southern California","$279,300","$279,300",
6,175,CIN,,Jimmy Herget,RP,21,R / R,"CO
                    
                    
                    South Florida","$276,600","$276,600",
6,176,MIA,,Justin Cohen,C,18,/,"HS
                    
                    
                    Riverview HS (FL)","$273,900","$540,000","-$266,100"
6,177,SD,,Jordan Guerrero,RP,18,/,"CO
                    
                    
                    Polk State","$271,300","$200,000","$71,300"
6,178,TB,,Benton Moss,SP,22,/,"CO
                    
                    
                    North Carolina","$268,700","$167,500","$101,200"
6,179,NYM,,Chase Ingram,P,20,/,"JC
                    
                    
                    Hillsborough JC (FL)","$266,200","$195,000","$71,200"
6,180,ATL,,Matt Withrow,P,21,R / R,"CO
                    
                    
                    Texas Tech","$263,700","$263,700",
6,181,MIL,,Eric Hanhold,P,21,R / R,"CO
                    
                    
                    Florida","$261,000","$250,000","$11,000"
6,182,TOR,,J.C. Cardenas,SS,21,/,"CO
                    
                    
                    Barry (FL)","$258,500","$250,000","$8,500"
6,183,NYY,,Brandon Wagner,1B,19,/,"CO
                    
                    
                    Howard","$256,100","$256,000",$100
6,184,CLE,,Jonas Wyatt,P,17,/,"HS
                    
                    
                    Quartz Hill HS (CA)","$253,600","$253,700",-$100
6,185,SEA,,Kyle Wilcox,RP,21,R / R,"CO
                    
                    
                    Bryant (RI)","$251,200",-,"$251,200"
6,186,SF,,Steven Duggar,CF,21,L / R,"CO
                    
                    
                    Clemson (SC)","$248,800","$248,800",
6,187,PIT,,JT Brubaker,SP,21,R / R,"CO
                    
                    
                    Akron (OH)","$246,400","$200,000","$46,400"
6,188,OAK,,Bubba Derby,P,21,/,"CO
                    
                    
                    San Diego State (CA)","$244,000","$200,000","$44,000"
6,189,KC,,Cody Jones,OF,22,/,"CO
                    
                    
                    Texas Christian","$241,600","$50,000","$191,600"
6,190,DET,,Matt Hall,SP,21,L / L,HS,"$239,400","$239,400",
6,191,STL,,Jacob Evans,RP,21,/,"CO
                    
                    
                    Oklahoma","$237,100","$150,000","$87,100"
6,192,LAD,,Edwin Rios,3B,21,L / R,"CO
                    
                    
                    Florida International","$234,800","$222,500","$12,300"
6,193,BAL,,Jay Flaa,RP,23,/,"CO
                    
                    
                    North Dakota State","$232,500","$10,000","$222,500"
6,194,WSH,,Matt Crownover,SP,22,/,"CO
                    
                    
                    Clemson (SC)","$230,400","$160,000","$70,400"
6,195,LAA,,David Fletcher,2B,21,R / R,"CO
                    
                    
                    Loyola Marymount","$228,100","$406,900","-$178,800"
7,196,ARI,,Francis Christy,C,19,/,"JC
                    
                    
                    Palomar JC (CA)","$226,000","$226,000",
7,197,COL,,Brian Mundell,OF,21,R / R,"CO
                    
                    
                    California State Poly-San Luis Obis...","$223,800","$185,000","$38,800"
7,198,TEX,,Dylan Moore,2B,22,R / R,"CO
                    
                    
                    Central Florida","$221,600","$10,000","$211,600"
7,199,HOU,,Michael Freeman,P,23,/,"CO
                    
                    
                    Oklahoma State","$219,600","$100,000","$119,600"
7,200,MIN,,Jovani Morán,P,18,L / L,"HS
                    
                    
                    Carlos Beltran Baseball Academy (PR...","$217,500","$275,000","-$57,500"
7,201,BOS,,Ben Taylor,RP,22,R / R,"CO
                    
                    
                    South Alabama","$215,400","$10,000","$205,400"
7,202,CHW,,Blake Hickman,P,21,R / R,"CO
                    
                    
                    Iowa","$213,400","$200,000","$13,400"
7,203,CHC,,Craig Brooks,P,22,/,"CO
                    
                    
                    Catawba College (NC)","$211,400","$5,000","$206,400"
7,204,PHI,,Luke Leftwich,P,21,/,"CO
                    
                    
                    Wofford (SC)","$209,300","$209,300",
7,205,CIN,,Jordan Ramsey,P,22,/,"CO
                    
                    
                    North Carolina-Wilmington","$207,300","$20,000","$187,300"
7,206,MIA,,Travis Neubeck,P,20,/,"JC
                    
                    
                    Indian Hills JC (IA)","$205,400","$205,400",
7,207,SD,,Trevor Megill,RP,21,L / R,"CO
                    
                    
                    Loyola Marymount (CA)","$203,300","$250,000","-$46,700"
7,208,TB,,Jake Cronenworth,2B,21,L / R,"CO
                    
                    
                    Michigan","$201,400","$198,900","$2,500"
7,209,NYM,,Corey Taylor,P,22,/,"CO
                    
                    
                    Texas Tech","$199,500","$20,000","$179,500"
7,210,ATL,,Patrick Weigel,SP,21,R / R,"CO
                    
                    
                    Houston","$197,600","$197,500",$100
7,211,MIL,,George Iskenderian,2B,21,/,"CO
                    
                    
                    Miami (FL)","$195,700","$200,000","-$4,300"
7,212,TOR,,Travis Bergen,RP,21,L / L,"CO
                    
                    
                    Kennesaw State","$193,900","$170,000","$23,900"
7,213,NYY,,Jhalan Jackson,OF,22,/,"CO
                    
                    
                    Florida Southern","$192,000","$100,000","$92,000"
7,214,CLE,,Nathan Lukes,CF,21,/,"CO
                    
                    
                    California State-Sacramento","$190,200","$130,000","$60,200"
7,215,SEA,,Ryan Uhl,1B,22,/,"CO
                    
                    
                    Indiana (PA)","$188,400","$50,000","$138,400"
7,216,SF,,Jose Vizcaino,3B,21,R / R,"CO
                    
                    
                    Santa Clara","$186,600","$150,000","$36,600"
7,217,PIT,,Mitchell Tolman,2B,21,/,"CO
                    
                    
                    Oregon","$184,800","$150,000","$34,800"
7,218,OAK,,Kyle Friedrichs,SP,23,/,"CO
                    
                    
                    California State-Long Beach","$183,000","$25,000","$158,000"
7,219,KC,,Gabriel Cancel,2B,18,/,"HS
                    
                    
                    Carlos Beltran Baseball Academy (PR...","$181,200","$200,000","-$18,800"
7,220,DET,,Nick Shumpert,2B,18,/,"HS
                    
                    
                    Highlands Ranch HS (CO)","$179,500",Unsigned,
7,221,STL,,Jesse Jenner,OF,22,/,"CO
                    
                    
                    San Diego (CA)","$179,200","$10,000","$169,200"
7,222,LAD,,Andrew Sopko,P,20,/,"CO
                    
                    
                    Gonzaga (WA)","$178,700","$147,500","$31,200"
7,223,BAL,,Gray Fenter,RP,19,R / R,"HS
                    
                    
                    West Memphis HS (AK)","$178,300","$1,000,000","-$821,700"
7,224,WSH,,Grant Borne,P,21,/,"CO
                    
                    
                    Nicholls State (LA)","$177,800","$150,000","$27,800"
7,225,LAA,,Hutton Moyer,2B,22,/,"CO
                    
                    
                    Pepperdine","$177,500","$177,500",
8,226,ARI,,Kal Simmons,SS,21,/,"CO
                    
                    
                    Kennesaw State","$177,100","$177,100",
8,227,COL,,Colin Welmon,SP,22,/,"CO
                    
                    
                    Loyola Marymount","$176,600","$30,000","$146,600"
8,228,TEX,,Blake Bass,RP,22,/,"CO
                    
                    
                    Angelo State (TX)","$176,300","$10,000","$166,300"
8,229,HOU,,Garrett Stubbs,C,22,L / R,"CO
                    
                    
                    Southern California","$175,900","$100,000","$75,900"
8,230,MIN,,Kolton Kendrick,1B,18,/,"HS
                    
                    
                    Oak Forest Academy (LA)","$175,400","$175,400",
8,231,BOS,,Logan Allen,SP,18,R / L,"HS
                    
                    
                    IMG Academy (FL)","$175,100","$725,000","-$549,900"
8,232,CHW,,Casey Schroeder,C,22,S / R,"CO
                    
                    
                    Coastal Carolina (SC)","$174,700","$150,000","$24,700"
8,233,CHC,,Preston Morrison,P,22,/,"CO
                    
                    
                    Texas Christian","$174,300","$30,000","$144,300"
8,234,PHI,,Greg Pickett,OF,18,/,"HS
                    
                    
                    Legend HS (CO)","$173,900","$350,000","-$176,100"
8,235,CIN,,Mitch Piatnik,OF,20,/,"JC
                    
                    
                    State JC of Florida","$173,500","$200,000","-$26,500"
8,236,MIA,,Chris Paddack,SP,19,R / R,"HS
                    
                    
                    Cedar Park HS (TX)","$173,100","$400,000","-$226,900"
8,237,SD,,Aldemar Burgos,OF,18,/,"HS
                    
                    
                    Carlos Beltran Baseball Academy (PR...","$172,700","$172,600",$100
8,238,TB,,Reece Karalus,RP,21,/,"CO
                    
                    
                    Santa Clara","$172,300","$122,500","$49,800"
8,239,NYM,,Patrick Mazeika,C,21,L / R,"CO
                    
                    
                    Stetson (FL)","$171,900","$125,000","$46,900"
8,240,CHC,,Ryan Lawlor,RP,21,/,"CO
                    
                    
                    Georgia","$171,500","$171,500",
8,241,MIL,,Nate Griep,RP,21,/,"CO
                    
                    
                    Kansas State","$171,100","$150,000","$21,100"
8,242,TOR,,Danny Young,RP,21,L / L,"CO
                    
                    
                    Florida","$170,800","$100,000","$70,800"
8,243,NYY,,Donny Sands,C,19,R / R,"HS
                    
                    
                    Salpointe Catholic HS (AZ)","$170,300","$100,000","$70,300"
8,244,CLE,,Justin Garza,RP,21,R / R,Cal State Fullerton,"$169,900","$169,900",
8,245,SEA,,Cody Mobley,RP,18,/,"HS
                    
                    
                    Mount Vernon HS (IN)","$169,600","$300,000","-$130,400"
8,246,SF,,Cory Taylor,P,21,/,"CO
                    
                    
                    Dallas Baptist (TX)","$169,200","$186,600","-$17,400"
8,247,PIT,,Seth McGarry,RP,21,/,"CO
                    
                    
                    Florida Atlantic","$168,700","$150,000","$18,700"
8,248,OAK,,Nick Collins,C,21,/,"CO
                    
                    
                    Georgetown (DC)","$168,400","$140,000","$28,400"
8,249,KC,,Andre Davis,SP,21,/,"CO
                    
                    
                    Arkansas-Pine Bluff","$168,000","$25,000","$143,000"
8,250,DET,,Dominic Moreno,RP,22,/,"CO
                    
                    
                    Texas Tech","$167,700","$50,000","$117,700"
8,251,STL,,Ian Oxnevad,SP,18,/,"HS
                    
                    
                    Shorewood HS (WA)","$167,300","$500,000","-$332,700"
8,252,LAD,,Tommy Bergjans,SP,22,/,"CO
                    
                    
                    Haverford","$167,000","$17,500","$149,500"
8,253,BAL,,Seamus Curran,1B,17,/,"HS
                    
                    
                    Agawam HS (MA)","$166,500","$175,000","-$8,500"
8,254,WSH,,Koda Glover,RP,22,R / R,"CO
                    
                    
                    Oklahoma State","$166,100","$200,000","-$33,900"
8,255,LAA,,Kyle Survance,OF,21,/,"CO
                    
                    
                    Houston","$165,800","$165,800",
9,256,ARI,,Pierce Romero,P,21,/,"CO
                    
                    
                    Santa Barbara City College","$165,400","$295,000","-$129,600"
9,257,COL,,Trey Killian,SP,21,/,"CO
                    
                    
                    Arkansas","$165,000","$150,000","$15,000"
9,258,TEX,,Pete Fairbanks,RP,21,R / R,"CO
                    
                    
                    Missouri","$164,700","$100,000","$64,700"
9,259,HOU,,Zac Person,RP,22,/,"CO
                    
                    
                    Louisiana State","$164,200","$10,000","$154,200"
9,260,MIN,,LaMonte Wade Jr.,CF,21,L / L,"CO
                    
                    
                    Maryland","$163,800","$163,800",
9,261,BOS,,Tucker Tubbs,1B,22,/,"CO
                    
                    
                    Memphis","$163,500","$5,000","$158,500"
9,262,CHW,,Ryan Hinchley,RP,22,/,"CO
                    
                    
                    Illinois-Chicago","$163,100","$25,000","$138,100"
9,263,CHC,,Tyler Peitzmeier,RP,22,/,"CO
                    
                    
                    California State-Fullerton","$162,800","$5,000","$157,800"
9,264,PHI,,Mark Laird,OF,22,/,"CO
                    
                    
                    Louisiana State","$162,400","$162,400",
9,265,CIN,,Sarkis Ohanian,RP,21,/,"CO
                    
                    
                    Duke (NC)","$162,000","$10,000","$152,000"
9,266,MIA,,Reilly Hovis,RP,21,/,"CO
                    
                    
                    North Carolina","$161,700","$125,000","$36,700"
9,267,SD,,Jerry Keel,P,21,/,Cal State Northridge,"$161,300","$10,000","$151,300"
9,268,TB,,Danny De la Calle,C,22,/,"CO
                    
                    
                    Florida State","$161,000","$7,500","$153,500"
9,269,NYM,,Kevin Kaczmarski,RF,23,L / R,"CO
                    
                    
                    Evansville (IN)","$160,600","$5,000","$155,600"
9,270,ATL,,Taylor Lewis,RP,21,/,"CO
                    
                    
                    Florida","$160,100","$200,000","-$39,900"
9,271,MIL,,Karsen Lindell,P,19,/,"HS
                    
                    
                    West Linn HS (OR)","$159,800","$171,100","-$11,300"
9,272,TOR,,Connor Panas,OF,22,/,"CO
                    
                    
                    Canisius College (NY)","$159,400","$10,000","$149,400"
9,273,NYY,,Ryan Krill,1B,22,/,"CO
                    
                    
                    Michigan State","$159,100","$5,000","$154,100"
9,274,CLE,,Devon Stewart,P,22,/,"CO
                    
                    
                    Canisius College (NY)","$158,700","$5,000","$153,700"
9,275,SEA,,Conner Hale,3B,22,/,"CO
                    
                    
                    Louisiana State","$158,300","$50,000","$108,300"
9,276,SF,,David Graybill,1B,22,/,"CO
                    
                    
                    Arizona State","$158,000","$115,000","$43,000"
9,277,PIT,,Bret Helton,P,21,/,"CO
                    
                    
                    Utah","$157,600",-,"$157,600"
9,278,OAK,,Jared Lyons,RP,22,/,"CO
                    
                    
                    Liberty (VA)","$157,300","$5,000","$152,300"
9,279,KC,,Joey Markus,P,19,/,"JC
                    
                    
                    Indian River State JC (FL)","$156,900","$130,000","$26,900"
9,280,DET,,Trey Teakell,RP,23,/,"CO
                    
                    
                    Texas Christian","$156,500","$40,000","$116,500"
9,281,STL,,Andrew Brodbeck,SS,22,/,"CO
                    
                    
                    Flagler","$156,200","$5,000","$151,200"
9,282,LAD,,Kevin Brown,RP,23,/,"CO
                    
                    
                    California State-Dominguez Hills","$155,800","$2,500","$153,300"
9,283,BAL,,Jaylen Ferguson,OF,17,/,"HS
                    
                    
                    Arlington HS (TX)","$155,500","$175,000","-$19,500"
9,284,WSH,,David Kerian,1B,22,/,"CO
                    
                    
                    Illinois-Urbana","$155,100","$25,000","$130,100"
9,285,LAA,,Tanner Lubach,C,22,/,"CO
                    
                    
                    Nebraska-Lincoln","$154,700","$10,000","$144,700"
10,286,ARI,,Joey Armstrong,OF,21,/,"CO
                    
                    
                    Nevada-Las Vegas","$154,500","$154,600",-$100
10,287,COL,,Cole Anderson,OF,18,/,"HS
                    
                    
                    Rocky Mountain HS (CO)","$154,100","$150,000","$4,100"
10,288,TEX,,Leon Byrd,SS,21,S / R,"CO
                    
                    
                    Rice (TX)","$153,800","$30,000","$123,800"
10,289,HOU,,Scott Weathersby,RP,23,/,"CO
                    
                    
                    Mississippi","$153,400","$5,000","$148,400"
10,290,MIN,,Sean Miller,SS,20,/,"CO
                    
                    
                    South Carolina-Aiken","$153,100","$125,000","$28,100"
10,291,BOS,,Mitch Gunsolus,3B,22,/,"CO
                    
                    
                    Gonzaga","$152,700","$10,000","$142,700"
10,292,CHW,,Jackson Glines,OF,23,/,"CO
                    
                    
                    Michigan","$152,400","$10,000","$142,400"
10,293,CHC,,Vimael Machin,2B,21,L / R,"CO
                    
                    
                    Virginia Commonwealth","$152,000","$2,000","$150,000"
10,294,PHI,,Josh Tobias,2B,22,/,"CO
                    
                    
                    Florida","$151,600","$10,000","$141,600"
10,295,CIN,,Zack Shields,OF,22,/,"CO
                    
                    
                    North Carolina-Wilmington","$151,300","$70,000","$81,300"
10,296,MIA,,Kelvin Rivas,RP,23,/,"CO
                    
                    
                    Oklahoma Baptist","$150,900","$10,000","$140,900"
10,297,SD,,Justin Pacchioli,OF,22,/,"CO
                    
                    
                    Lehigh","$150,700","$5,000","$145,700"
10,298,TB,,Sam Triece,RP,21,/,"CO
                    
                    
                    Washington State","$150,300","$7,500","$142,800"
10,299,NYM,,Witt Haggard,RP,23,/,"CO
                    
                    
                    Delta State","$150,000","$5,000","$145,000"
10,300,ATL,,Stephen Moore,P,23,/,"CO
                    
                    
                    Navy","$149,600","$5,000","$144,600"
10,301,MIL,,Jake Drossner,P,21,R / L,"CO
                    
                    
                    Maryland","$149,600","$120,000","$29,600"
10,302,TOR,,Owen Spiwak,C,20,/,"JC
                    
                    
                    Odessa JC (TX)","$149,600","$100,000","$49,600"
10,303,NYY,,James Reeves,RP,22,/,"CO
                    
                    
                    The Citadel (SC)","$149,600","$50,000","$99,600"
10,304,CLE,,Billy Stode,RP,22,/,"CO
                    
                    
                    Florida State","$149,600","$5,000","$144,600"
10,305,SEA,,Darin Gillies,RP,22,/,"CO
                    
                    
                    Arizona State","$149,600",-,"$149,600"
10,306,SF,,Tyler Cyr,RP,22,R / R,"CO
                    
                    
                    Embry-Riddle","$149,600","$100,000","$49,600"
10,307,PIT,,Logan Sendelbach,P,21,/,"CO
                    
                    
                    Tiffin (OH)","$149,600","$100,000","$49,600"
10,308,OAK,,Steven Pallares,OF,22,/,"CO
                    
                    
                    San Diego State (CA)","$149,600","$5,000","$144,600"
10,309,KC,,Alex Luna,P,22,/,"CO
                    
                    
                    Alabama-Birmingham","$149,600","$5,000","$144,600"
10,310,DET,,Cole Bauml,OF,22,/,"CO
                    
                    
                    Northern Kentucky","$149,600","$30,000","$119,600"
10,311,STL,,Kep Brown,OF,18,/,"HS
                    
                    
                    Wando HS (SC)","$149,600",Unsigned,
10,312,LAD,,Logan Landon,OF,22,/,"CO
                    
                    
                    Texas Pan American","$149,600","$2,500","$147,100"
10,313,BAL,,Reid Love,P,23,/,"CO
                    
                    
                    East Carolina (NC)","$149,600","$10,000","$139,600"
10,314,WSH,,Taylor Guilbeau,P,22,L / L,"CO
                    
                    
                    Alabama","$149,600","$25,000","$124,600"
10,315,LAA,,Adam Hofacket,RP,21,/,"CO
                    
                    
                    California Baptist","$149,600","$100,000","$49,600"
11,316,ARI,,Austin Byler,1B,22,/,"CO
                    
                    
                    Nevada-Reno","$100,000",-,"$100,000"
11,317,COL,,Michael Zimmerman,P,18,/,"HS
                    
                    
                    Gulf Coast HS (FL)","$100,000",-,"$100,000"
11,318,TEX,,Scott Heineman,OF,22,R / R,"CO
                    
                    
                    Oregon","$100,000","$100,000",
11,319,HOU,,Patrick Sandoval,SP,18,L / L,"HS
                    
                    
                    Mission Viejo HS (CA)","$100,000","$900,000","-$800,000"
11,320,MIN,,Kerby Camacho,C,17,/,"HS
                    
                    
                    Carlos Beltran Baseball Academy (PR...","$100,000","$100,000",
11,321,BOS,,Nicholos Hamilton,OF,17,/,"HS
                    
                    
                    Lockport HS (NY)","$100,000","$100,000",
11,322,CHW,,Danny Dopico,P,21,/,"CO
                    
                    
                    Florida International","$100,000","$140,000","-$40,000"
11,323,CHC,,Matt Rose,3B,20,R / R,"CO
                    
                    
                    Georgia State","$100,000","$100,000",
11,324,PHI,,Edgar Cabral,C,19,/,"JC
                    
                    
                    Mt. San Antonio JC (CA)","$100,000",-,"$100,000"
11,325,CIN,,Brantley Bell,2B,20,/,"CO
                    
                    
                    Mississippi","$100,000",-,"$100,000"
11,326,MIA,,Ryan McKay,RP,18,/,"HS
                    
                    
                    Satellite HS (FL)","$100,000","$300,000","-$200,000"
11,327,SD,,Brett Kennedy,SP,20,R / R,"CO
                    
                    
                    Fordham","$100,000","$100,000",
11,328,TB,,Ian Gibaut,RP,21,R / R,"CO
                    
                    
                    Tulane (LA)","$100,000","$100,000",
11,329,NYM,,Jake Simon,P,18,/,"HS
                    
                    
                    Ball HS (TX)","$100,000","$400,000","-$300,000"
11,330,ATL,,Grayson Jones,RP,20,/,"JC
                    
                    
                    Shelton State JC (AL)","$100,000","$150,000","-$50,000"
11,331,MIL,,José Cuas,RP,21,R / R,"CO
                    
                    
                    Maryland","$100,000","$100,000",
11,332,TOR,,Marrick Crouse,P,18,/,"HS
                    
                    
                    Dana Hills HS (CA)","$100,000",Unsigned,
11,333,NYY,,Josh Rogers,SP,21,L / L,"CO
                    
                    
                    Louisville","$100,000","$485,000","-$385,000"
11,334,CLE,,Chandler Newman,P,18,/,"HS
                    
                    
                    Richmond Hill HS (GA)","$100,000",Unsigned,
11,335,SEA,,Dylan Silva,RP,21,/,"CO
                    
                    
                    Florida State","$100,000","$100,000",
11,336,SF,,C.J. Hinojosa,SS,21,R / R,"CO
                    
                    
                    Texas","$100,000","$200,000","-$100,000"
11,337,PIT,,Christian Kelley,C,21,R / R,"CO
                    
                    
                    California State Poly-Pomona","$100,000","$100,000",
11,338,OAK,,James Terrell,OF,18,/,"HS
                    
                    
                    St. Patrick-St. Vincent HS (CA)","$100,000","$125,000","-$25,000"
11,339,KC,,Ben Johnson,OF,21,/,"CO
                    
                    
                    Texas","$100,000","$170,000","-$70,000"
11,340,DET,,Jake Shull,RP,21,/,"CO
                    
                    
                    California State-Fresno","$100,000","$100,000",
11,341,STL,,Paul Salazar,RP,18,/,"HS
                    
                    
                    Lutheran South Academy (TX)","$100,000","$200,000","-$100,000"
11,342,LAD,,Imani Abdullah,SP,18,/,"HS
                    
                    
                    Madison HS (CA)","$100,000","$647,500","-$547,500"
11,343,BAL,,Ryan Meisinger,RP,21,R / R,"CO
                    
                    
                    Radford","$100,000",-,"$100,000"
11,344,WSH,,Andrew Lee,SP,21,/,"CO
                    
                    
                    Tennessee","$100,000",-,"$100,000"
11,345,LAA,,Jimmy Barnes,OF,18,/,"HS
                    
                    
                    Deep Creek HS (VA)","$100,000","$100,000",
12,346,ARI,,Wesley Rodriguez,RP,18,/,"HS
                    
                    
                    George Washington HS (NY)","$100,000",-,"$100,000"
12,347,COL,,Justin Lawrence,RP,20,R / R,"JC
                    
                    
                    Daytona State JC (FL)","$100,000","$100,000",
12,348,TEX,,LeDarious Clark,OF,21,/,"CO
                    
                    
                    West Florida","$100,000",-,"$100,000"
12,349,HOU,,Myles Straw,CF,20,R / R,"JC
                    
                    
                    St. Johns River State JC (FL)","$100,000","$100,000",
12,350,MIN,,Zander Wiel,1B,22,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$100,000",-,
12,351,BOS,,Kevin Kelleher,RP,22,/,"CO
                    
                    
                    New Orleans (LA)","$100,000","$100,000",
12,352,CHW,,Seby Zavala,C,21,R / R,"CO
                    
                    
                    San Diego State (CA)","$100,000",-,"$100,000"
12,353,CHC,,P.J. Higgins,C,22,R / R,"CO
                    
                    
                    Old Dominion (VA)","$100,000","$110,000","-$10,000"
12,354,PHI,,Skylar Hunter,RP,21,/,"CO
                    
                    
                    The Citadel","$100,000","$100,000",
12,355,CIN,,Alexis Diaz,RP,18,R / R,"HS
                    
                    
                    Juan Jose Manuez HS (PR)","$100,000","$130,000","-$30,000"
12,356,MIA,,Terry Bennett,OF,18,/,"HS
                    
                    
                    Atlantic Coast HS (FL)","$100,000","$185,000","-$85,000"
12,357,SD,,Peter Van Gansen,SS,21,/,"CO
                    
                    
                    Cal Poly-San Luis Obispo","$100,000","$100,000",
12,358,TB,,David Olmedo-Barrera,OF,21,L / R,"CO
                    
                    
                    Cal State Fullerton","$100,000","$100,000",
12,359,NYM,,Joe Shaw,P,21,R / R,"CO
                    
                    
                    Dallas Baptist","$100,000","$100,000",
12,360,ATL,,Justin Ellison,OF,20,/,"JC
                    
                    
                    Western Oklahoma State JC","$100,000","$110,000","-$10,000"
12,361,MIL,,Drake Owenby,P,21,/,"CO
                    
                    
                    Tennessee","$100,000","$100,000",
12,362,BAL,,D.J. McKnight,OF,21,/,"JC
                    
                    
                    Tallahassee JC (FL)","$100,000",-,"$100,000"
12,363,NYY,,Terrance Robertson,OF,18,/,"HS
                    
                    
                    Valley Vista HS (AZ)","$100,000","$170,000","-$70,000"
12,364,CLE,,Ryan Perez,RP,21,/,"CO
                    
                    
                    Judson","$100,000","$100,000",
12,365,SEA,,Logan Taylor,3B,21,/,"CO
                    
                    
                    Texas A&M","$100,000","$100,000",
12,366,SF,,Hector Santiago,SS,17,/,"HS
                    
                    
                    Colegio Nuestra Senora (PR)","$100,000","$191,000","-$91,000"
12,367,PIT,,Ty Moore,OF,21,L / R,"CO
                    
                    
                    California-Los Angeles","$100,000","$100,000",
12,368,OAK,,Chris Iriart,1B,20,/,"CO
                    
                    
                    Houston","$100,000",-,"$100,000"
12,369,KC,,Daniel Concepcion,P,21,/,"CO
                    
                    
                    Virginia Commonwealth","$100,000",-,"$100,000"
12,370,DET,,Kyle Dowdy,RP,22,R / R,"CO
                    
                    
                    Houston (TX)","$100,000","$100,000",
12,371,STL,,Jacob Schlesener,P,18,/,"HS
                    
                    
                    Logan-Rogersville HS (MO)","$100,000","$235,000","-$135,000"
12,372,LAD,,Matt Beaty,3B,22,L / R,"CO
                    
                    
                    Belmont (TN)","$100,000",-,"$100,000"
12,373,BAL,,Robert Strader,RP,21,/,"CO
                    
                    
                    Louisville","$100,000","$100,000",
12,374,WSH,,Tommy Peterson,RP,21,/,"CO
                    
                    
                    South Florida","$100,000","$125,000","-$25,000"
12,375,LAA,,Dalton Blumenfeld,C,18,/,"HS
                    
                    
                    Hamilton HS (CA)","$100,000","$260,000","-$160,000"
13,376,ARI,,Jason Morozowski,OF,21,/,"CO
                    
                    
                    Mount Olive (NC)","$100,000",-,"$100,000"
13,377,COL,,Mylz Jones,SS,21,/,"CO
                    
                    
                    Cal State-Bakersfield","$100,000",-,"$100,000"
13,378,TEX,,Curtis Terry,1B,18,R / R,"HS
                    
                    
                    Archer HS (GA)","$100,000","$100,000",
13,379,HOU,,Kevin McCanna,RP,21,L / R,"CO
                    
                    
                    Rice (TX)","$100,000",-,"$100,000"
13,380,MIN,,Cody Stashak,RP,21,R / R,"CO
                    
                    
                    St. John's (NY)","$100,000","$100,000",
13,381,BOS,,Matthew Kent,SP,21,/,"CO
                    
                    
                    Texas A&M","$100,000",-,"$100,000"
13,382,CHW,,Ryan Riga,RP,22,/,"CO
                    
                    
                    Ohio State","$100,000",-,"$100,000"
13,383,CHC,,Kyle Twomey,P,21,L / L,"CO
                    
                    
                    Southern California","$100,000",-,"$100,000"
13,384,PHI,,Zach Coppola,OF,21,/,"CO
                    
                    
                    South Dakota","$100,000",-,"$100,000"
13,385,CIN,,Andrew Jordan,SP,17,/,"HS
                    
                    
                    Hunter Huss HS (NC)","$100,000","$225,000","-$125,000"
13,386,MIA,,R.J. Peace,RP,18,/,"HS
                    
                    
                    Serrano HS (CA)","$100,000",-,"$100,000"
13,387,SD,,Will Headean,P,21,/,"CO
                    
                    
                    Illinois State","$100,000","$100,000",
13,388,TB,,Nicholas Padilla,RP,18,R / R,"JC
                    
                    
                    Grayson JC (TX)","$100,000",-,
13,389,NYM,,P.J. Conlon,SP,21,L / L,"CO
                    
                    
                    San Diego (CA)","$100,000","$110,000","-$10,000"
13,390,ATL,,Chase Johnson-Mullins,RP,21,L / L,"JC
                    
                    
                    Shelton State JC (AL)","$100,000","$125,000","-$25,000"
13,391,MIL,,Max McDowell,C,21,R / R,"CO
                    
                    
                    Connecticut","$100,000","$100,000",
13,392,TOR,,Daniel Perry,1B,18,/,"HS
                    
                    
                    Lassen HS (CA)","$100,000",Unsigned,
13,393,NYY,,Trey Amburgey,OF,20,/,"JC
                    
                    
                    St. Petersburg JC (FL)","$100,000","$100,000",
13,394,CLE,,Daniel Salters,C,22,/,"CO
                    
                    
                    Dallas Baptist (TX)","$100,000","$100,000",
13,395,SEA,,Matt Clancy,RP,21,/,"CO
                    
                    
                    St. John's (NY)","$100,000",-,"$100,000"
13,396,SF,,Matt Pope,RP,21,R / R,"JC
                    
                    
                    Walters State JC (TN)","$100,000","$100,000",
