Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
35,1045,CIN,,Alex Krupa,OF,20,/,"JC
                    
                    
                    Iowa Western JC","$100,000",-,"$100,000"
35,1046,MIA,,Cameron Newell,OF,23,/,"CO
                    
                    
                    California-Santa Barbara","$100,000",-,"$100,000"
35,1047,SD,,Nathan Foriest,RP,23,/,"CO
                    
                    
                    Middle Tennessee State","$100,000",-,"$100,000"
35,1048,TB,,Blake Butera,SS,22,R / R,"CO
                    
                    
                    Boston College (MA)","$100,000",-,"$100,000"
35,1049,NYM,,George Thanopoulos,P,22,/,"CO
                    
                    
                    Columbia (NY)","$100,000",Unsigned,
35,1050,ATL,,Chase Smartt,C,19,/,"HS
                    
                    
                    Charles Henderson HS (AL)","$100,000",-,"$100,000"
35,1051,MIL,,Quintin Torres-Costa,P,20,/,"CO
                    
                    
                    Hawaii","$100,000",-,"$100,000"
35,1052,TOR,,Stuart Holmes,RP,22,/,"CO
                    
                    
                    Nicholls State (LA)","$100,000",-,"$100,000"
35,1053,NYY,,Alex Bisacca,RP,22,/,"CO
                    
                    
                    Sam Houston State (TX)","$100,000",-,"$100,000"
35,1054,CLE,,Cade Tremie,C,18,/,"HS
                    
                    
                    New Waverly HS (TX)","$100,000",Unsigned,
35,1055,SEA,,Gianni Zayas,P,21,/,"CO
                    
                    
                    Florida International","$100,000",-,"$100,000"
35,1056,SF,,Drew Jackson,SP,22,/,"CO
                    
                    
                    Florida Atlantic","$100,000",-,"$100,000"
35,1057,PIT,,Jordan George,1B,23,S / R,"CO
                    
                    
                    Arkansas State","$100,000",-,"$100,000"
35,1058,OAK,,Tim Proudfoot,SS,22,/,"CO
                    
                    
                    Texas Tech","$100,000",-,"$100,000"
35,1059,KC,,Trey Stover,SS,22,/,"CO
                    
                    
                    Hartford","$100,000",-,"$100,000"
35,1060,DET,,Connor Lungwitz,RP,18,/,"HS
                    
                    
                    Maize HS (KS)","$100,000",Unsigned,
35,1061,STL,,Luke Harrison,RP,22,/,"CO
                    
                    
                    Indiana","$100,000",-,"$100,000"
35,1062,LAD,,Gage Green,OF,22,/,"CO
                    
                    
                    Oklahoma State","$100,000",-,"$100,000"
35,1063,BAL,,Guillermo Trujillo,P,22,/,"CO
                    
                    
                    Oral Roberts (OK)","$100,000",Unsigned,
35,1064,WSH,,Coco Montes,SS,18,R / R,"HS
                    
                    
                    El Dorado HS (CA)","$100,000",Unsigned,
35,1065,LAA,,Jordan Serena,OF,22,/,"CO
                    
                    
                    Columbia (NY)","$100,000",-,"$100,000"
36,1066,ARI,,Cameron Smith,P,22,/,"CO
                    
                    
                    Texas Tech","$100,000",-,"$100,000"
36,1067,COL,,Andy Pagnozzi,RP,18,/,"HS
                    
                    
                    Fayetteville HS (AR)","$100,000",Unsigned,
36,1068,TEX,,DJ Peters,OF,19,R / R,"JC
                    
                    
                    Western Nevada JC","$100,000",Unsigned,
36,1069,HOU,,Ryan Deemes,P,22,/,"CO
                    
                    
                    Nicholls State (LA)","$100,000",-,"$100,000"
36,1070,MIN,,Rich Condeelis,RP,21,/,"CO
                    
                    
                    Pittsburgh","$100,000",-,"$100,000"
